id,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,location
201.0,146077,0,0,4,0.268,0.727,0.539,0,0.0907,-10.167,0.255,0.18,135.712,29
202.0,250853,7,1,4,0.419,0.731,0.398,6.04e-05,0.121,-8.912,0.0405,0.423,144.06,44
203.0,177507,3,1,4,0.192,0.497,0.709,0.000279,0.449,-2.928,0.0365,0.384,89.89,37
204.0,341733,5,1,4,0.714,0.514,0.275,4.2e-06,0.216,-15.19,0.0793,0.613,88.49,38
205.0,282347,10,1,3,0.409,0.346,0.445,0.179,0.259,-8.969,0.0306,0.0418,131.271,43
206.0,207347,10,1,4,0.0318,0.655,0.72,4.71e-05,0.25,-9.423,0.0312,0.745,121.311,46
207.0,185314,10,1,4,0.421,0.449,0.496,0,0.088,-6.104,0.0554,0.247,109.929,37
208.0,256253,7,1,4,0.00391,0.335,0.749,0.916,0.179,-7.192,0.0313,0.353,126.679,36
209.0,223051,7,1,4,0.00797,0.681,0.823,0.542,0.149,-5.107,0.0299,0.905,124.991,38
210.0,229773,11,0,4,0.0923,0.645,0.862,0,0.192,-4.757,0.0965,0.798,119.991,36
211.0,185158,9,0,4,0.135,0.61,0.754,0,0.107,-6.469,0.0585,0.357,121.952,37
212.0,243946,10,0,4,0.0987,0.818,0.562,0.813,0.355,-7.779,0.0356,0.57,125.03,37
213.0,242667,9,1,4,0.0111,0.511,0.855,1.3e-06,0.119,-3.028,0.0479,0.314,164.002,44
214.0,245493,3,1,4,0.225,0.6,0.663,0,0.119,-5.802,0.0477,0.286,121.07,45
215.0,197487,0,1,4,0.0501,0.9,0.4,0,0.0876,-8.443,0.124,0.338,136.001,45
216.0,271011,9,1,5,0.348,0.334,0.392,0.767,0.186,-11.138,0.0572,0.0509,107.273,45
217.0,207507,0,1,4,0.13,0.295,0.723,0.0318,0.151,-5.855,0.0325,0.174,83.793,25
218.0,216600,3,0,4,0.986,0.414,0.153,0.931,0.111,-16.83,0.0298,0.125,150.214,36
219.0,255067,9,1,4,0.194,0.693,0.565,0.000175,0.0806,-12.583,0.0345,0.692,97.937,26
220.0,218653,2,0,4,0.558,0.75,0.826,9.39e-06,0.0373,-6.646,0.0425,0.918,94.963,44
221.0,260707,8,1,4,0.0148,0.569,0.856,7.31e-05,0.927,-7.317,0.0453,0.461,115.935,37
222.0,236333,5,1,4,0.0857,0.521,0.529,1.38e-05,0.0611,-6.117,0.0321,0.381,121.826,38
223.0,165493,4,1,4,0.598,0.483,0.691,0,0.0918,-5.223,0.0805,0.597,79.666,46
224.0,271782,9,0,3,0.558,0.717,0.36,0.591,0.307,-11.079,0.0287,0.528,113.354,43
225.0,231653,1,0,4,0.277,0.432,0.52,0.371,0.138,-5.515,0.0548,0.303,164.047,29
226.0,219120,2,1,4,0.563,0.669,0.512,0,0.121,-10.488,0.0298,0.93,110.006,26
227.0,240991,7,1,4,0.146,0.531,0.747,0.0722,0.07,-9.368,0.0344,0.761,93.559,43
228.0,109014,2,1,4,0.0915,0.59,0.326,0.88,0.0803,-11.011,0.04,0.206,141.935,46
229.0,240120,2,1,4,0.179,0.533,0.932,0.968,0.314,-3.461,0.0306,0.65,115.966,30
230.0,197400,0,0,3,0.676,0.67,0.341,0.871,0.268,-11.04,0.0519,0.459,154.552,45
231.0,262440,1,1,4,0.235,0.732,0.843,0,0.246,-6.203,0.0498,0.973,92.011,37
232.0,406533,1,1,4,0.82,0.327,0.41,0.816,0.143,-14.247,0.0331,0.228,138.688,44
233.0,207653,2,1,4,0.125,0.587,0.693,0.0111,0.369,-11.694,0.0507,0.885,109.982,38
234.0,178480,9,1,4,0.296,0.674,0.881,3.01e-06,0.0793,-2.853,0.147,0.234,98.994,37
235.0,80000,11,0,4,0.272,0.591,0.178,0.766,0.0972,-25.168,0.0411,0.762,119.999,45
236.0,280627,5,1,4,0.176,0.57,0.822,7.34e-06,0.185,-7.211,0.0812,0.581,95.009,46
237.0,203547,9,1,4,6.02e-05,0.35,0.935,0,0.1,-4.595,0.0586,0.369,97.89,36
239.0,334707,2,1,4,0.376,0.339,0.448,0.00766,0.11,-8.081,0.0295,0.164,57.902,46
